"","Andean Emerald","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-crowned Brilliant","Green-crowned Woodnymph","Green-fronted Lancebill","Hoary Puffleg","Purple-bibbed Whitetip","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Tyrian Metaltail","Violet-tailed Sylph","Wedge-billed Hummingbird","White-necked Jacobin","White-whiskered Hermit"
"Al.purpureus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6
"Al.tenuis",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Al.tetragonoides",0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
"Al.teuscheri",0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5
"Be.solanoides",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Bo.multiflora",0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0
"Bo.pardina",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ce.solanifolius",0,0,3,0,0,1,0,1,0,0,0,0,0,0,23,0,0,2,0,1
"Co.ciliata",0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2
"Co.cinerea",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,8
"Co.picta",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
"Fu.macrostigma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gl.oblongicalyx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Gu.jaramilloi",0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
"He.burleana",0,0,4,0,0,1,0,0,0,0,0,0,1,1,11,0,1,3,0,0
"He.griggsiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
"He.impudica",0,0,5,0,0,0,0,0,0,0,0,4,0,1,3,0,7,0,0,0
"He.virginalis",0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,9
"Ma.bullata",0,0,1,0,7,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0
"Me.Melastomataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Me.capituligera",0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pa.Palicourea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Pa.acetosoides",0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,3,0,0,0
"Pa.demissa",7,15,2,1,0,0,0,0,3,0,0,3,0,15,1,0,1,0,1,0
"Pa.lineata",0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
"Pi.sodiroi",0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0
"Ps.aberrans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15
"Ps.sodiroi",0,0,2,0,1,0,37,0,0,0,3,0,1,0,0,0,18,0,0,0
"Ps.ulbrichiana",0,4,17,0,2,0,7,0,0,1,0,0,0,0,1,0,3,0,0,1
"Re.sessilifolia",0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0
"Sa.quitensis",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"We.ferox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
